City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Verkh-Suetka,RU,53.3,80.05,4.71,86,100,9.6,overcast clouds
241,Nanortalik,GL,60.1432,-45.2371,27.95,74,100,13.24,light snow
242,Deputatskiy,RU,69.3,139.9,-26.01,99,58,1.48,broken clouds
243,Asfi,MA,32.2994,-9.2372,55.8,70,5,16.98,clear sky
244,Coahuayana,MX,18.7333,-103.6833,79.36,53,100,6.2,overcast clouds
245,Yatou,CN,37.15,122.3833,31.3,58,16,7.85,few clouds
246,Buckingham,GB,51.9997,-0.9878,34.63,89,9,1.99,clear sky
247,San Andres,CO,12.5847,-81.7006,84.22,70,40,8.05,scattered clouds
248,Otradnoye,RU,59.7775,30.8181,33.85,98,100,9.17,overcast clouds
249,Talara,PE,-4.5772,-81.2719,83.16,51,0,16.11,clear sky
250,Lasa,IT,46.6166,10.7002,29.28,92,93,6.22,overcast clouds
251,Saint-Philippe,RE,-21.3585,55.7679,76.59,91,100,13.42,moderate rain
252,Port Stanley,FK,-51.7,-57.85,64.69,72,0,3.44,clear sky
253,Dikson,RU,73.5069,80.5464,-17.7,81,100,6.24,overcast clouds
254,Kattivakkam,IN,13.2167,80.3167,75.29,69,74,2.55,broken clouds
255,Tiksi,RU,71.6872,128.8694,-28.43,100,99,0.43,overcast clouds
256,Brookings,US,44.3114,-96.7984,21.54,96,100,11.5,mist
257,Naze,JP,28.3667,129.4833,52.72,62,98,8.14,overcast clouds
258,Ankpa,NG,7.3706,7.6253,77.2,22,10,1.41,clear sky
259,Tessalit,ML,20.1986,1.0114,68.97,15,81,2.75,broken clouds
260,Shache,CN,38.4167,77.2406,-0.51,91,100,4.97,overcast clouds
261,Partenit,UA,44.578,34.3446,52.14,69,99,4.54,overcast clouds
262,Opatija,HR,45.3392,14.3083,46.17,89,100,5.73,light rain
263,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,16.11,scattered clouds
264,Phalombe,MW,-15.8064,35.6507,67.19,97,100,0.51,light rain
265,Mandera,KE,3.9366,41.867,81.59,30,63,6.26,broken clouds
266,Itoman,JP,26.1247,127.6694,60.82,65,40,12.66,scattered clouds
267,Kruisfontein,ZA,-34.0033,24.7314,74.88,63,100,5.93,overcast clouds
268,Buraydah,SA,26.326,43.975,46.85,53,53,6.02,broken clouds
269,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.1,80,28,8.5,scattered clouds
270,Fartura,BR,-23.3883,-49.51,74.34,76,56,11.61,broken clouds
271,Ponta Do Sol,PT,32.6667,-17.1,61.72,68,56,11.01,broken clouds
272,Mamaku,NZ,-38.1,176.0833,72.39,66,100,5.82,light rain
